Event Name,Event ID,Order #,Order Date,Quantity,Ticket Type,Order Type,What gender do you identify with?,What's your postal code?,What operating system are you using?,How did you hear about this event?
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,445836814,2015-08-10,1,"Yes, I'd like to mentor!",Free Order,Male,M4S1S1,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,445833605,2015-08-10,1,"Yes, I'd like to mentor!",Free Order,Male,M6K2Z1,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,454222027,2015-09-10,1,"Yes, I'd like to attend!",PayPal Completed,Female,M5G2R2,Mac,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448489667,2015-08-19,1,"Yes, I'd like to attend!",PayPal Completed,Female,L4E 2S7,Windows,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448489282,2015-08-19,1,"Yes, I'd like to attend!",PayPal Completed,Female,L6C3C4,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,445324326,2015-08-07,1,"Yes, I'd like to mentor!",Free Order,Male,M4Y 1M9,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448478921,2015-08-19,1,"Yes, I'd like to attend!",PayPal Completed,Female,M4K 1M1,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448354346,2015-08-19,1,"Yes, I'd like to attend!",PayPal Completed,Female,m6k 3l9,Mac,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,454308785,2015-09-11,1,"Yes, I'd like to attend!",PayPal Completed,Female,L5L 2Z6,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448325134,2015-08-19,1,"Yes, I'd like to attend!",PayPal Completed,Female,M4S 2H2,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,447319758,2015-08-15,1,"Yes, I'd like to attend!",PayPal Completed,Female,M1S2H3,Mac,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,446661084,2015-08-13,1,"Yes, I'd like to attend!",PayPal Completed,Female,M5b 2h9,Windows,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,445929738,2015-08-10,1,"Yes, I'd like to attend!",PayPal Completed,Female,ON M5S,Windows,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,446990620,2015-08-14,1,"Yes, I'd like to attend!",PayPal Completed,Female,M5A 3A1,Mac,Twitter
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,445560994,2015-08-08,1,"Yes, I'd like to mentor!",Free Order,Male,M4Y1A5,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,458478305,2015-09-25,1,"Yes, I'd like to attend!",PayPal Completed,Female,M4K 2P9,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,447295293,2015-08-15,1,"Yes, I'd like to attend!",PayPal Completed,Female,M5E 1Z9,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448188321,2015-08-19,1,"Yes, I'd like to attend!",PayPal Completed,Female,M6P 3P2,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448100207,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,M8v 3c3,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443217398,2015-07-30,1,"Yes, I'd like to attend!",PayPal Completed,Female,M4T1M5,Windows,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,440218554,2015-07-17,1,"Yes, I'd like to attend!",PayPal Completed,Female,M5G2G4,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448080326,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,M6P 2N4,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448790216,2015-08-20,1,"Yes, I'd like to mentor!",Free Order,Female,M4L 1X1,,Twitter
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,447076965,2015-08-14,1,"Yes, I'd like to attend!",PayPal Completed,Female,M5G 2H5,Windows,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,446944140,2015-08-13,1,"Yes, I'd like to attend!",PayPal Completed,Female,M5E 0A6,Windows,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,446944222,2015-08-13,1,"Yes, I'd like to attend!",PayPal Completed,Female,m5g1p7,Mac,Facebook
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,445273563,2015-08-07,1,"Yes, I'd like to mentor!",Free Order,Male,M6J1E4,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448029476,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,M4W 2G8,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448071530,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,M6H 3W5,Mac,Twitter
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448352720,2015-08-19,1,"Yes, I'd like to attend!",PayPal Completed,Female,M5B 2P7,Mac,Twitter
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448113918,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,M5V 2M7,Windows,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448069255,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,M6C3Y7,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,457943973,2015-09-23,1,"Yes, I'd like to mentor!",Free Order,Male,M5V2M7,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,445333320,2015-08-07,1,"Yes, I'd like to mentor!",Free Order,Male,M6P5A1,,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,447712358,2015-08-17,1,"Yes, I'd like to attend!",PayPal Completed,Female,M6C2K8,Mac,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443078681,2015-07-29,1,"Yes, I'd like to attend!",PayPal Completed,Female,m5n2a7,Mac,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,447697157,2015-08-17,1,"Yes, I'd like to attend!",PayPal Completed,Female,M6R1J9,Mac,Twitter
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,454303377,2015-09-11,1,"Yes, I'd like to attend!",PayPal Completed,Female,M4E3R1,Mac,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443069359,2015-07-29,1,"Yes, I'd like to mentor!",Free Order,Female,M6H 3L5,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448162605,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,M6P 1K1,Mac,Facebook | From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,454219042,2015-09-10,1,"Yes, I'd like to attend!",PayPal Completed,Female,M6P 4J6,Windows,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,451056068,2015-08-30,1,Make a Donation!,PayPal Completed,Female,m6h 3y2,,Facebook
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,454219042,2015-09-10,1,Make a Donation!,PayPal Completed,Female,M6P 4J6,,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,444403777,2015-08-04,1,"Yes, I'd like to attend!",PayPal Completed,Female,M4J 1C4,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,446008886,2015-08-10,1,"Yes, I'd like to attend!",PayPal Completed,Female,M6C1K2,Mac,Twitter
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448067681,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,M6P 3N8,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448239079,2015-08-19,1,"Yes, I'd like to attend!",PayPal Completed,Male,L1T 2R9,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,447771111,2015-08-17,1,"Yes, I'd like to attend!",PayPal Completed,Female,M4v 1x9,Mac,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,444951322,2015-08-06,1,"Yes, I'd like to attend!",PayPal Completed,Female,M4V2G9,Mac,Twitter
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443417483,2015-07-30,1,"Yes, I'd like to attend!",PayPal Completed,Female,M6C1B9,Mac,Facebook
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,447704837,2015-08-17,1,"Yes, I'd like to attend!",PayPal Completed,Female,M6P2G1,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448147482,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,M6C1Y3,Mac,Other
