Tuesday,April,14,11.8
Wednesday,April,15,10.5
Thursday,April,16,9.8
Friday,April,17,14.9
Saturday,April,18,14.9
Sunday,April,19,8.4
Monday,April,20,10.0
Tuesday,April,21,8.0
Wednesday,April,22,5.2
Thursday,April,23,1.8
Friday,April,24,3.7
Saturday,April,25,5.1
Sunday,April,26,8.5
Monday,April,27,9.3
Tuesday,April,28,12.5
Wednesday,April,29,13.3
Thursday,April,30,12.2
Friday,May,1,15.8
Saturday,May,2,15.9
Sunday,May,3,17.9
Monday,May,4,17.2
Tuesday,May,5,13.3
Wednesday,May,6,15.6
Thursday,May,7,17.6
Friday,May,8,19.1
Saturday,May,9,20.7
Sunday,May,10,20.4
Monday,May,11,15.3
Tuesday,May,12,12.5
Wednesday,May,13,10.5
Thursday,May,14,11.6
Friday,May,15,12.1
Saturday,May,16,18.9
Sunday,May,17,17.6
Monday,May,18,20.7
Tuesday,May,19,12.1
Wednesday,May,20,10.0
Thursday,May,21,14.3
Friday,May,22,10.9
Saturday,May,23,11.4
Sunday,May,24,18.0
Monday,May,25,20.8
Tuesday,May,26,22.5
Wednesday,May,27,20.7
Thursday,May,28,20.8
Friday,May,29,19.9
Saturday,May,30,20.0
Sunday,May,31,9.7
Monday,June,1,12.3
Tuesday,June,2,14.1
Wednesday,June,3,14.1
Thursday,June,4,17.0
Friday,June,5,19.0
Saturday,June,6,13.8
Sunday,June,7,14.8
Monday,June,8,19.6
Tuesday,June,9,19.0
Wednesday,June,10,20.5
Thursday,June,11,18.5
Friday,June,12,16.8
Saturday,June,13,18.8
Sunday,June,14,17.4
Monday,June,15,20.3
Tuesday,June,16,22.4
Wednesday,June,17,18.3
Thursday,June,18,20.5
Friday,June,19,17.5
Saturday,June,20,17.5
Sunday,June,21,22.6
Monday,June,22,22.0
Tuesday,June,23,21.6
Wednesday,June,24,19.5
Thursday,June,25,20.2
Friday,June,26,19.2
Saturday,June,27,16.2
Sunday,June,28,13.9
Monday,June,29,19.3
Tuesday,June,30,17.5
Wednesday,July,1,19.5
Thursday,July,2,17.6
Friday,July,3,17.1
Saturday,July,4,18.7
Sunday,July,5,21.2
Monday,July,6,22.1
Tuesday,July,7,22.5
Wednesday,July,8,17.9
Thursday,July,9,19.1
Friday,July,10,19.7
Saturday,July,11,22.4
Sunday,July,12,23.6
Monday,July,13,23.7
Tuesday,July,14,20.7
Wednesday,July,15,17.4
Thursday,July,16,18.7
Friday,July,17,18.9
Saturday,July,18,24.3
Sunday,July,19,25.4
Monday,July,20,23.3
Tuesday,July,21,22.8
Wednesday,July,22,20.5
Thursday,July,23,20.7
Friday,July,24,21.4
Saturday,July,25,24.8
Sunday,July,26,24.4
Monday,July,27,25.8
Tuesday,July,28,26.1
Wednesday,July,29,27.1
Thursday,July,30,26.0
Friday,July,31,24.6
Saturday,August,1,22.8
Sunday,August,2,22.6
Monday,August,3,21.6
Tuesday,August,4,21.3
Wednesday,August,5,19.5
Thursday,August,6,18.8
